Have you smoked at least one full tobacco cigarette (excluding e-cigarettes) once or more in the past 30 days?,"Do you find it difficult to refrain from smoking where it is forbidden (church, library, cinema, plane, etc...)?",How many cigarettes do you smoke each day?,How soon after you wake up do you smoke your first cigarette?,How old were you the first time you smoked a full cigarette (not just a few puffs)?,Cluster,PCA1,PCA2
0,0,0,1,4,2,-0.8268096558078089,0.06999135627245655
0,0,0,2,5,1,-1.1340982196761797,0.8305611053445718
0,0,1,2,9,1,-0.9105234967338708,0.2083046750087278
0,0,0,2,3,1,-0.9225815040484057,1.1586041041888737
0,0,2,1,7,2,0.14913157914624534,-0.35441400728847716
0,0,0,2,7,1,-1.3456149353039542,0.5025181065002701
0,1,1,1,7,0,0.848610967624523,-0.308839494917495
0,0,0,2,3,1,-0.9225815040484057,1.1586041041888737
0,0,1,0,5,2,-0.08442965336935392,-0.984791824291201
0,1,0,2,10,0,-0.31680246606948026,0.089857687957559
0,0,1,0,4,2,0.021328704444533258,-0.8207703248690501
0,0,1,1,6,2,-0.39171821723772515,-0.22422207521908577
0,0,0,2,6,1,-1.239856577490067,0.6665396059224209
0,0,2,1,5,2,0.36064829477401966,-0.026371008444175382
0,0,0,2,6,1,-1.239856577490067,0.6665396059224209
0,1,2,1,7,3,1.4952191218223807,-0.2750099275647355
0,0,0,0,11,2,-1.3655879544505347,-2.002750388176866
0,0,1,2,6,1,-0.5932484232922093,0.7003691732751804
0,0,0,1,9,1,-1.3556014448772447,-0.7501161408382979
0,0,0,2,6,1,-1.239856577490067,0.6665396059224209
0,0,1,3,7,1,-0.9005369871605805,1.4609389223472957
0,1,0,0,7,0,0.40353301948114934,-1.2672603107645208
0,0,0,2,10,1,-1.6628900087456155,0.01045360823381737
0,0,0,2,13,1,-1.9801650821872772,-0.48161089003263524
0,0,1,1,2,2,0.03131521401782349,0.43186392246951777
0,0,0,2,9,1,-1.5571316509317286,0.17447510765596824
0,0,0,0,2,2,-0.41376273412555037,-0.5265568933775079
0,0,0,2,6,1,-1.239856577490067,0.6665396059224209
0,1,2,3,4,0,1.409433783155074,2.0662370676902495
0,0,0,0,7,2,-0.9425545231949862,-1.3466643904882625
0,0,1,1,6,2,-0.39171821723772515,-0.22422207521908577
0,0,0,2,10,1,-1.6628900087456155,0.01045360823381737
0,1,0,1,1,0,0.8365529603099883,0.641459934262651
0,1,2,1,5,3,1.7067358374501551,0.05303307127956626
0,0,0,2,4,1,-1.0283398618622928,0.9945826047667228
0,1,1,3,3,0,0.8685839867711035,2.196428999759641
0,0,0,1,6,2,-1.038326371435583,-0.25805164257184526
0,0,0,1,4,2,-0.8268096558078089,0.06999135627245655
0,0,0,2,6,1,-1.239856577490067,0.6665396059224209
0,1,2,3,3,0,1.5151921409689613,2.2302585671124002
0,0,1,1,3,2,-0.07444314379606366,0.26784242304736694
0,0,1,2,6,1,-0.5932484232922093,0.7003691732751804
0,0,0,2,13,1,-1.9801650821872772,-0.48161089003263524
0,1,1,1,7,0,0.848610967624523,-0.308839494917495
0,1,1,1,6,0,0.9543693254384102,-0.14481799549534413
0,0,0,2,9,1,-1.5571316509317286,0.17447510765596824
0,0,0,2,12,1,-1.87440672437339,-0.31758939061048447
0,0,1,3,5,1,-0.6890202715328062,1.7889819211915976
0,0,1,0,5,2,-0.08442965336935392,-0.984791824291201
0,0,1,3,3,1,-0.4775035559050318,2.1170249200358993
0,1,0,2,7,0,0.0004726073721811888,0.5819221862240117
0,0,0,0,4,2,-0.6252794497533247,-0.8545998922218097
0,0,0,2,9,1,-1.5571316509317286,0.17447510765596824
0,0,0,0,11,2,-1.3655879544505347,-2.002750388176866
0,1,1,1,6,0,0.9543693254384102,-0.14481799549534413
0,1,2,1,5,3,1.7067358374501551,0.05303307127956626
0,0,1,2,9,1,-0.9105234967338708,0.2083046750087278
0,1,2,1,7,3,1.4952191218223807,-0.2750099275647355
0,1,2,1,7,3,1.4952191218223807,-0.2750099275647355
0,0,1,0,9,2,-0.5074630846249026,-1.6408778219798046
0,0,2,1,7,2,0.14913157914624534,-0.35441400728847716
0,1,3,3,6,3,1.8445252217251575,1.7720236361987072
0,1,2,1,7,3,1.4952191218223807,-0.2750099275647355
0,0,2,3,8,1,-0.35968719077660993,1.3307469902779043
0,0,1,0,8,2,-0.4017047268110154,-1.4768563225576536
0,1,2,1,8,3,1.3894607640084935,-0.4390314269868864
0,1,3,3,5,3,1.9502835795390447,1.9360451356208581
0,1,2,3,6,0,1.1979170675272999,1.7381940688459476
0,0,2,0,8,2,0.2449034273868423,-1.443026755204894
0,0,3,0,4,2,1.3145450128402485,-0.7531111901635312
0,1,3,3,6,3,1.8445252217251575,1.7720236361987072
0,1,2,3,8,0,0.9864003518995254,1.410151070001646
0,1,3,3,5,3,1.9502835795390447,1.9360451356208581
