"I see myself as someone who is extraverted, enthusiastic:","I see myself as someone who is critical, quarrelsome:","I see myself as someone who is dependable, self-disciplined:","I see myself as someone who is anxious, easily upset:",I see myself as someone who is open to new experiences:,How often do you exercise?,How often do you feel stressed?,Have you smoked at least one full tobacco cigarette (excluding e-cigarettes) once or more in the past 30 days?,"Do you find it difficult to refrain from smoking where it is forbidden (church, library, cinema, plane, etc...)?",How many cigarettes do you smoke each day?,Do you smoke if you are so ill that you are in bed most of the day?,How soon after you wake up do you smoke your first cigarette?,How old were you the first time you smoked a full cigarette (not just a few puffs)?,Cluster,PCA1,PCA2,Cluster_Label
0.0709257674824137,0.9215665366564988,0.2542460528733807,-0.5990912910224792,0.5030069086260107,-0.9294253747854272,-0.6380821478273602,0.0,-0.8424235391742321,-1.019808868929183,1.4396054209803264,-1.4462704056858338,-0.4098356391376614,0,0.3559709908609112,0.43555316570097663,Light Smokers with Balanced Lifestyles
-0.530524740768455,-0.6497908824146358,-0.4644227899153752,-1.1489066749911614,0.5030069086260107,0.0810268275453962,0.8484388998583581,0.0,-0.8424235391742321,-1.019808868929183,-0.6946347835499476,-1.4462704056858338,-1.523747889101562,1,-0.5803909874405421,-0.18046463147885128,Heavy and Stress-Driven Smokers
1.2738267839841515,1.4453523430135435,-1.1830916327041312,-0.5990912910224792,1.356106625655725,-1.9398775771162504,-1.3813426716702193,0.0,-0.8424235391742321,-1.019808868929183,-0.6946347835499476,0.618438860343774,-0.4098356391376614,1,-0.4926233642274186,2.0571945230771504,Heavy and Stress-Driven Smokers
0.0709257674824137,0.9215665366564988,0.2542460528733807,1.60017024485225,0.5030069086260107,0.0810268275453962,0.8484388998583581,0.0,-0.8424235391742321,-0.0459373364382515,1.4396054209803264,-0.4139157726710298,-0.7811397224589617,0,-0.3903570278461171,-0.2613716890747017,Light Smokers with Balanced Lifestyles
-1.1319752490193238,-1.1735766887716803,0.2542460528733807,1.0503548608835676,-0.3500928084037036,-1.9398775771162504,0.105178376015499,0.0,-0.8424235391742321,-1.019808868929183,-0.6946347835499476,0.618438860343774,-0.0385315558163612,1,-0.9410885690330495,1.3722969916584018,Heavy and Stress-Driven Smokers
-1.1319752490193238,1.4453523430135435,-0.4644227899153752,-1.1489066749911614,0.5030069086260107,1.0914790298762196,-0.6380821478273602,0.0,-0.8424235391742321,-1.019808868929183,-0.6946347835499476,0.618438860343774,-0.0385315558163612,1,-1.3841890659361207,0.023302526310024645,Heavy and Stress-Driven Smokers
1.8752772922350205,-0.6497908824146358,0.2542460528733807,-0.5990912910224792,0.5030069086260107,-0.9294253747854272,-1.3813426716702193,0.0,-0.8424235391742321,-1.019808868929183,-0.6946347835499476,0.618438860343774,-0.7811397224589617,1,-0.05025028241808425,2.610670145316918,Heavy and Stress-Driven Smokers
-0.530524740768455,1.4453523430135435,-0.4644227899153752,-0.0492759070537969,0.5030069086260107,1.0914790298762196,-1.3813426716702193,0.0,-0.8424235391742321,-1.019808868929183,-0.6946347835499476,0.618438860343774,-0.4098356391376614,1,-1.4088863000201626,0.32532070429934823,Heavy and Stress-Driven Smokers
0.0709257674824137,-1.1735766887716803,-0.4644227899153752,-0.5990912910224792,0.5030069086260107,-0.9294253747854272,-1.3813426716702193,0.0,-0.8424235391742321,-0.0459373364382515,-0.6946347835499476,0.618438860343774,1.81798886079014,1,-0.3577345164670458,1.434473380152874,Heavy and Stress-Driven Smokers
-0.530524740768455,-0.6497908824146358,0.2542460528733807,-0.0492759070537969,-0.3500928084037036,0.0810268275453962,-0.6380821478273602,0.0,-0.8424235391742321,-1.019808868929183,-0.6946347835499476,0.618438860343774,-0.4098356391376614,1,-0.8766429006369593,0.9793791611232616,Heavy and Stress-Driven Smokers
-0.530524740768455,0.9215665366564988,0.2542460528733807,1.60017024485225,0.5030069086260107,-0.9294253747854272,-0.6380821478273602,0.0,1.1870513506545997,-1.019808868929183,1.4396054209803264,-0.4139157726710298,2.9319011107540405,0,-0.2343458888782609,-0.17341152459842304,Light Smokers with Balanced Lifestyles
-1.1319752490193238,-0.6497908824146358,-0.4644227899153752,-0.5990912910224792,-1.203192525433418,1.0914790298762196,-0.6380821478273602,0.0,1.1870513506545997,0.9279341960526798,1.4396054209803264,-1.4462704056858338,-2.2663560557441627,2,2.410977836088825,-2.074811794484886,Habitual Smokers with Strong Smoking Patterns
0.0709257674824137,1.4453523430135435,-0.4644227899153752,2.149985628820932,-0.3500928084037036,1.0914790298762196,1.5916994237012174,0.0,-0.8424235391742321,-1.019808868929183,-0.6946347835499476,0.618438860343774,-0.7811397224589617,1,-2.6403574783791246,-0.6888986751218119,Heavy and Stress-Driven Smokers
-0.530524740768455,-1.1735766887716803,-0.4644227899153752,-0.5990912910224792,-1.203192525433418,-1.9398775771162504,0.8484388998583581,0.0,-0.8424235391742321,-1.019808868929183,-0.6946347835499476,0.618438860343774,-0.0385315558163612,1,-0.666009615658502,0.9441873143533687,Heavy and Stress-Driven Smokers
-1.1319752490193238,0.3977807302994539,-1.1830916327041312,-0.0492759070537969,0.5030069086260107,0.0810268275453962,-1.3813426716702193,0.0,-0.8424235391742321,-1.019808868929183,-0.6946347835499476,0.618438860343774,-0.7811397224589617,1,-0.9884225309149248,0.5537077611962017,Heavy and Stress-Driven Smokers
